 "x",  "y",  "u",  "v",  "sigma",  "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma"
216,724,1.71799,86.7493,0.0301184,-21,199,1.71799,-86.7493,0.0176748,0.0142603,-0.000645873,0.0177928,0.0141422,-0.180838
225,724,1.81005,86.8347,0.0287324,-12,199,1.81006,-86.8347,0.0156631,0.0140658,-0.000663918,0.015903,0.0138259,-0.346774
234,724,1.80681,86.7559,0.026686,-3,199,1.80681,-86.7559,0.01414,0.0138953,-0.000688718,0.0147171,0.0133181,-0.697482
243,724,1.83528,86.7275,0.0256325,6,199,1.83528,-86.7275,0.0128947,0.013744,-0.000724313,0.014159,0.0124798,-1.05052
252,724,1.92296,86.7955,0.025484,15,199,1.92296,-86.7955,0.0118345,0.013603,-0.000763299,0.0138869,0.0115507,-1.21473
261,724,2.11445,86.9043,0.0327694,24,199,2.11444,-86.9044,0.0109598,0.0134734,-0.000806132,0.0137098,0.0107235,-1.28564
270,724,2.13753,86.999,0.0350102,33,199,2.13754,-86.999,0.010271,0.0133562,-0.000853284,0.0135765,0.0100507,-1.31817
279,724,2.11204,86.9032,0.0292321,42,199,2.11203,-86.9033,0.00976882,0.013252,-0.000905261,0.0134733,0.0095476,-1.33112
288,724,2.105,86.9125,0.0266134,51,199,2.10501,-86.9125,0.00945425,0.0131616,-0.000962606,0.0133967,0.00921921,-1.33132
297,724,2.15346,86.8957,0.0264943,60,199,2.15344,-86.8958,0.00932834,0.0130855,-0.00102592,0.0133474,0.00906646,-1.32087
306,724,2.24957,87.5549,0.0290524,69,199,2.24957,-87.5549,0.00970865,0.0130318,-0.00109871,0.0133622,0.00937823,-1.27867
315,724,2.26651,87.5366,0.0271228,78,199,2.26651,-87.5366,0.010572,0.013013,-0.0011863,0.0134946,0.0100904,-1.18521
207,733,0.948312,87.2763,0.0313487,-30,190,0.948318,-87.2762,0.0196865,0.0145608,-0.000682126,0.0197757,0.0144716,-0.130066
216,733,1.57804,87.0677,0.0288633,-21,190,1.57805,-87.0677,0.0172572,0.0142933,-0.000685571,0.0174081,0.0141424,-0.216646
225,733,1.72267,87.3433,0.0248068,-12,190,1.72267,-87.3433,0.0153483,0.0140878,-0.000698895,0.0156592,0.013777,-0.4185
234,733,1.77134,87.385,0.0231924,-3,190,1.77133,-87.3849,0.0139179,0.0139077,-0.000722409,0.0146352,0.0131904,-0.78186
