"TOA5","CR1000X_Ryan's","CR1000X","39460","CR1000X.Std.08.01","CPU:Pyranometer Test.CR1X","42896","IPtest"
"TIMESTAMP","RECORD","Proto1_Avg","Proto2_Avg","Proto3_Avg","Proto4_Avg","Ref5_Avg","Ref6_Avg"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2024-11-15 10:27:00",167,22.84704,22.64109,22.29528,22.69131,23.50069,23.48697
"2024-11-15 10:28:00",168,22.68964,22.48821,22.12782,22.54082,23.33201,23.30465
"2024-11-15 10:29:00",169,22.98514,22.77659,22.32918,22.84041,23.62379,23.54988
"2024-11-15 10:30:00",170,26.87399,26.5619,25.56301,26.68168,27.51237,27.15128
"2024-11-15 10:31:00",171,37.02615,36.44197,34.16177,36.68964,37.69515,36.6586
"2024-11-15 10:32:00",172,42.36235,41.64529,38.81843,41.93897,43.09325,41.77771
"2024-11-15 10:33:00",173,51.12869,50.1632,46.34062,50.53315,51.89727,50.07919
"2024-11-15 10:34:00",174,56.16139,55.08519,50.67569,55.48785,57.01829,54.88866
"2024-11-15 10:35:00",175,47.94543,47.05276,43.71184,47.33765,48.72458,47.15919
"2024-11-15 10:36:00",176,48.59393,47.68315,44.25772,47.98456,49.36411,47.7552
"2024-11-15 10:37:00",177,41.0358,40.27832,37.82373,40.50798,41.73653,40.62383
"2024-11-15 10:38:00",178,50.46012,49.51226,45.80111,49.8633,51.2233,49.45607
"2024-11-15 10:39:00",179,49.88092,48.97695,45.32856,49.31566,50.66159,48.91924
"2024-11-15 10:40:00",180,48.15165,47.34595,43.91916,47.66013,48.97451,47.30799
"2024-11-15 10:41:00",181,32.52916,32.07554,30.70212,32.22741,33.22556,32.69642
"2024-11-15 10:42:00",182,28.49898,28.18898,27.41968,28.28476,29.23969,29.02584
"2024-11-15 10:43:00",183,28.28075,28.0084,27.36679,28.08893,29.07054,28.92402
"2024-11-15 10:44:00",184,35.31154,34.94635,33.54003,35.09784,36.23071,35.67154
"2024-11-15 10:45:00",185,37.44203,37.07019,35.53634,37.21825,38.43727,37.78704
"2024-11-15 10:46:00",186,33.25346,32.97856,32.11958,33.06934,34.26136,33.96968
"2024-11-15 10:47:00",187,30.60927,30.41625,30.06523,30.47426,31.65776,31.64934
"2024-11-15 10:48:00",188,31.37956,31.22387,30.98707,31.27442,32.53853,32.57035
"2024-11-15 10:49:00",189,33.16251,32.99651,32.72789,33.04905,34.39327,34.40071
"2024-11-15 10:50:00",190,32.46412,32.30972,32.26156,32.33221,33.69221,33.82885
"2024-11-15 10:51:00",191,31.78857,31.62725,31.68738,31.63983,32.96777,33.16547
"2024-11-15 10:52:00",192,30.62444,30.46354,30.58112,30.47567,31.72334,31.93748
"2024-11-15 10:53:00",193,29.63237,29.48485,29.61705,29.49378,30.66537,30.87205
"2024-11-15 10:54:00",194,29.02519,28.90511,29.03194,28.90798,30.03725,30.21183
"2024-11-15 10:55:00",195,28.29037,28.18542,28.33067,28.1974,29.26075,29.43146
"2024-11-15 10:56:00",196,27.12107,27.0491,27.21898,27.07622,28.03463,28.20813
"2024-11-15 10:57:00",197,25.94556,25.93977,26.10313,25.98651,26.8299,26.98842
"2024-11-15 10:58:00",198,25.3088,25.36783,25.48933,25.43531,26.20504,26.31702
"2024-11-15 10:59:00",199,25.07233,25.15075,25.20821,25.22996,25.96189,26.01873
"2024-11-15 11:00:00",200,25.07521,25.12294,25.09474,25.20971,25.92648,25.92319
"2024-11-15 11:01:00",201,25.06093,25.05016,24.96658,25.14522,25.85699,25.81918
"2024-11-15 11:02:00",202,25.14573,25.10605,24.95745,25.21259,25.90162,25.82333
"2024-11-15 11:03:00",203,25.90816,25.85936,25.55324,25.9833,26.64341,26.47623
"2024-11-15 11:04:00",204,25.55085,25.50922,25.18319,25.62816,26.2378,26.08197
"2024-11-15 11:05:00",205,25.23485,25.21852,24.88199,25.33295,25.8994,25.74892
"2024-11-15 11:06:00",206,25.1927,25.19943,24.84637,25.31989,25.85142,25.70187
"2024-11-15 11:07:00",207,25.54679,25.6255,25.22864,25.74575,26.26974,26.089
"2024-11-15 11:08:00",208,27.6875,27.8691,27.29699,27.99847,28.58989,28.29046
"2024-11-15 11:09:00",209,32.76182,32.98423,31.95387,33.17172,33.92294,33.34313
"2024-11-15 11:10:00",210,36.00362,36.18524,34.85873,36.40959,37.27882,36.53125
"2024-11-15 11:11:00",211,35.95505,36.0937,34.75265,36.31923,37.2012,36.45481
"2024-11-15 11:12:00",212,32.45422,32.56645,31.63185,32.73903,33.57432,33.08967
"2024-11-15 11:13:00",213,32.82351,32.92156,31.95039,33.07878,33.95234,33.43594
"2024-11-15 11:14:00",214,38.46167,38.53854,36.95295,38.76962,39.75992,38.89001
"2024-11-15 11:15:00",215,56.57851,56.67875,53.05818,57.09354,58.46654,56.37131
"2024-11-15 11:16:00",216,70.17523,70.33239,65.34657,70.87035,72.67544,69.7288
"2024-11-15 11:17:00",217,71.68331,71.84534,67.09358,72.33335,74.34155,71.51354
"2024-11-15 11:18:00",218,64.08447,64.21904,60.83599,64.59746,66.58385,64.60558
"2024-11-15 11:19:00",219,61.05875,61.12187,58.432,61.43708,63.38305,61.87083
"2024-11-15 11:20:00",220,47.30316,47.31499,46.36666,47.43674,49.08928,48.66252
"2024-11-15 11:21:00",221,43.69273,43.7019,43.00135,43.79487,45.30999,45.00796
"2024-11-15 11:22:00",222,37.08147,37.0776,36.87066,37.15188,38.39919,38.39193
"2024-11-15 11:23:00",223,31.51912,31.55066,31.69835,31.59299,32.62908,32.82244
"2024-11-15 11:24:00",224,28.50475,28.57199,28.799,28.61734,29.51683,29.72609
"2024-11-15 11:25:00",225,26.29768,26.37691,26.63154,26.44242,27.2221,27.43436
"2024-11-15 11:26:00",226,24.66252,24.75716,25.00192,24.82677,25.52163,25.72041
"2024-11-15 11:27:00",227,23.8437,23.97208,24.16844,24.03672,24.70061,24.85041
"2024-11-15 11:28:00",228,23.91417,24.08495,24.20989,24.14899,24.83392,24.92097
"2024-11-15 11:29:00",229,24.77963,24.98459,25.03842,25.05862,25.80676,25.83318
"2024-11-15 11:30:00",230,26.38722,26.6046,26.59937,26.68907,27.53805,27.52126
"2024-11-15 11:31:00",231,28.65157,28.85302,28.77307,28.94261,29.91982,29.86028
"2024-11-15 11:32:00",232,31.77095,31.9372,31.66939,32.04366,33.14837,32.98196
"2024-11-15 11:33:00",233,33.73027,33.85678,33.49417,33.96825,35.16125,34.93777
"2024-11-15 11:34:00",234,35.61001,35.70652,35.27713,35.81194,37.1095,36.83126
"2024-11-15 11:35:00",235,37.89799,37.92597,37.45606,38.02106,39.444,39.14954
"2024-11-15 11:36:00",236,39.16348,39.09594,38.64616,39.18962,40.67759,40.41258
"2024-11-15 11:37:00",237,42.40828,42.32582,41.46953,42.45893,43.95932,43.44497
"2024-11-15 11:38:00",238,42.13171,42.06384,41.03123,42.19474,43.58608,42.96118
"2024-11-15 11:39:00",239,36.54979,36.46148,35.76637,36.5542,37.71082,37.29885
"2024-11-15 11:40:00",240,33.82412,33.77168,33.04206,33.8676,34.84054,34.40179
"2024-11-15 11:41:00",241,32.14647,32.14608,31.28756,32.26166,33.09232,32.55476
"2024-11-15 11:42:00",242,29.05307,29.06216,28.32553,29.1822,29.87602,29.4054
"2024-11-15 11:43:00",243,28.84708,28.8887,28.02068,29.02305,29.67948,29.12648
"2024-11-15 11:44:00",244,29.09314,29.16082,28.16937,29.30643,29.95806,29.3216
"2024-11-15 11:45:00",245,26.59005,26.62151,25.88576,26.75879,27.35798,26.88688
"2024-11-15 11:46:00",246,25.98811,26.02457,25.3756,26.16128,26.7574,26.3482
"2024-11-15 11:47:00",247,26.64053,26.69971,26.06069,26.83266,27.46244,27.07575
"2024-11-15 11:48:00",248,27.86967,27.96675,27.29337,28.10426,28.78669,28.37506
"2024-11-15 11:49:00",249,30.02343,30.16092,29.33724,30.32449,31.06398,30.55813
"2024-11-15 11:50:00",250,34.79146,35.00022,33.70787,35.22055,36.07507,35.26238
"2024-11-15 11:51:00",251,40.14593,40.39475,38.59543,40.67167,41.66797,40.52739
"2024-11-15 11:52:00",252,49.10154,49.42936,46.77016,49.78225,51.04912,49.3456
"2024-11-15 11:53:00",253,61.53948,61.97918,58.13484,62.42653,64.08604,61.57389
"2024-11-15 11:54:00",254,70.32896,70.79804,66.20431,71.3577,73.2406,70.27129
"2024-11-15 11:55:00",255,73.21696,73.72334,68.92527,74.32896,76.22294,73.15005
"2024-11-15 11:56:00",256,69.45118,70.00938,65.56853,70.56358,72.27032,69.42617
"2024-11-15 11:57:00",257,57.43132,57.90637,54.66048,58.31947,59.67093,57.59316
"2024-11-15 11:58:00",258,65.32227,66.10063,61.65371,66.67449,68.0147,65.15414
"2024-11-15 11:59:00",259,66.98151,67.89616,62.99565,68.5047,69.792,66.61301
"2024-11-15 12:00:00",260,53.79022,54.49298,50.91113,54.94405,55.92091,53.59425
"2024-11-15 12:01:00",261,44.24192,44.7597,42.13844,45.11604,45.87932,44.18169
"2024-11-15 12:02:00",262,47.87302,48.48967,45.35843,48.92429,49.71808,47.71441
"2024-11-15 12:03:00",263,49.29998,49.97244,46.61151,50.40446,51.22012,49.07332
"2024-11-15 12:04:00",264,46.79154,47.4445,44.33537,47.82245,48.62187,46.64622
"2024-11-15 12:05:00",265,60.41403,61.39508,56.69401,61.94825,63.01442,60.01146
"2024-11-15 12:06:00",266,75.54378,76.86317,70.43305,77.60485,79.00043,74.87228
"2024-11-15 12:07:00",267,63.55806,64.5591,59.58552,65.15032,66.39328,63.19354
"2024-11-15 12:08:00",268,63.62735,64.61457,59.69867,65.17609,66.47543,63.29744
"2024-11-15 12:09:00",269,49.12726,49.71891,46.58467,50.11766,51.17987,49.15152
"2024-11-15 12:10:00",270,40.55046,40.86892,38.89343,41.15032,42.13794,40.85555
"2024-11-15 12:11:00",271,35.20002,35.27334,34.09984,35.48484,36.46696,35.71739
"2024-11-15 12:12:00",272,33.7604,33.70045,32.74454,33.88045,34.85117,34.26036
"2024-11-15 12:13:00",273,31.54066,31.41129,30.55214,31.56703,32.4164,31.91389
"2024-11-15 12:14:00",274,29.95766,29.87374,28.92867,30.03818,30.73089,30.19354
"2024-11-15 12:15:00",275,33.88048,34.02647,32.45662,34.25908,34.93232,33.99804
"2024-11-15 12:16:00",276,43.02621,43.4879,40.88748,43.82196,44.65637,43.03777
"2024-11-15 12:17:00",277,45.65878,46.1447,43.46066,46.49646,47.48554,45.79345
"2024-11-15 12:18:00",278,53.19871,53.78292,50.56779,54.20529,55.44857,53.41417
"2024-11-15 12:19:00",279,49.0864,49.44077,47.04271,49.75911,51.06125,49.56356
"2024-11-15 12:20:00",280,46.44375,46.69347,44.88638,46.93489,48.28165,47.16463
"2024-11-15 12:21:00",281,47.94799,48.23762,46.5069,48.49343,49.91148,48.84579
"2024-11-15 12:22:00",282,55.29138,55.78905,53.45474,56.14524,57.69177,56.25853
